I,1,Cog,3.75,14,4,40,12
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,ebgef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
I,12,Produs4,5.0,1,1,10,1
I,13,Produs4,5.0,2,1,10,1
I,14,Produs4,5.0,5,1,10,1
I,15,Produs4,5.0,10,1,10,1
I,16,Produs3,0.01,5,1,10,1
I,17,Produs4,5.0,1,1,10,1
I,18,Produs4,5.0,2,1,10,1
I,19,Produs4,5.0,5,1,10,1
I,20,Produs4,5.0,10,1,10,1
I,21,Produs3,0.01,5,1,10,1
I,22,Produs4,5.0,1,1,10,1
I,23,Produs4,5.0,2,1,10,1
I,24,Produs4,5.0,5,1,10,1
I,25,Produs4,5.0,10,1,10,1
I,26,Produs3,0.01,5,1,10,1
I,27,Produs4,5.0,1,1,10,1
I,28,Produs4,5.0,2,1,10,1
I,29,Produs4,5.0,5,1,10,1
I,30,Produs4,5.0,10,1,10,1
I,31,Produs3,0.01,5,1,10,1
I,32,Produs4,5.0,1,1,10,1
I,33,Produs4,5.0,2,1,10,1
I,34,Produs4,5.0,5,1,10,1
I,35,Produs4,5.0,10,1,10,1
I,36,Produs3,0.01,5,1,10,1
I,37,Produs4,5.0,1,1,10,1
I,38,Produs4,5.0,2,1,10,1
I,39,Produs4,5.0,5,1,10,1
I,40,Produs4,5.0,10,1,10,1
I,41,Produs3,0.01,5,1,10,1
I,42,Produs4,5.0,1,1,10,1
I,43,Produs4,5.0,2,1,10,1
I,44,Produs4,5.0,5,1,10,1
I,45,Produs4,5.0,10,1,10,1
I,46,Produs3,0.01,5,1,10,1
P,1,Clock,7.45,7,2,20,1:2:3
P,2,product2,12.34,12,1,12,4
P,4,products4,11.0,2,1,10,5:8:7:7
